vehicle_id,vehicle_type,model,year,base_fare,per_km_rate
VEH001,SUV,Hyundai i20,2020,95.11,15.07
VEH002,Auto,Hyundai i20,2021,138.58,17.93
VEH003,Bike,Toyota Innova,2021,87.24,24.03
VEH004,Sedan,Hyundai i20,2024,137.0,22.21
VEH005,Mini,Toyota Innova,2024,102.39,11.75
VEH006,Auto,Maruti Swift,2021,88.28,14.61
VEH007,SUV,TVS Jupiter,2024,86.09,10.17
VEH008,Mini,Toyota Innova,2018,138.83,18.06
VEH009,Bike,Honda Activa,2023,81.43,22.74
VEH010,Auto,Honda Activa,2020,75.49,11.6
VEH011,Sedan,Maruti Swift,2024,135.56,12.73
VEH012,SUV,Maruti Swift,2024,39.83,8.33
VEH013,Mini,Honda Activa,2020,56.91,9.17
VEH014,Bike,Honda Activa,2019,53.92,8.35
VEH015,Auto,TVS Jupiter,2019,86.83,9.94
VEH016,Auto,Hyundai i20,2023,60.75,14.27
VEH017,Mini,Toyota Innova,2023,116.2,21.22
VEH018,Auto,Maruti Swift,2018,99.44,23.79
VEH019,Mini,Hyundai i20,2021,142.98,11.37
VEH020,Mini,TVS Jupiter,2018,113.66,13.13
VEH021,Mini,Honda Activa,2024,148.06,21.3
VEH022,Sedan,Toyota Innova,2021,109.38,9.17
VEH023,Sedan,Honda Activa,2024,80.41,16.33
VEH024,SUV,Maruti Swift,2023,136.99,15.82
VEH025,Auto,Hyundai i20,2019,118.06,24.41
VEH026,Sedan,Toyota Innova,2024,140.35,21.17
VEH027,SUV,Hyundai i20,2024,117.72,12.56
VEH028,Auto,Honda Activa,2020,135.8,12.15
VEH029,SUV,Toyota Innova,2022,110.18,13.72
VEH030,SUV,Maruti Swift,2019,88.51,14.03
